day,wl,type,value
1,678,A,0.415667425
1,678,E,0.358539636
1,678,D,0.252626359
1,678,C,0.284262015
1,678,B,0.234142441
1,720,A,0.365008444
1,720,E,0.314187778
1,720,D,0.233510269
1,720,C,0.260697376
1,720,B,0.214559621
1,750,A,0.350414412
1,750,E,0.302777961
1,750,D,0.22559918
1,750,C,0.253015387
1,750,B,0.20712379
2,678,A,0.748228835
2,678,E,0.534624348
2,678,D,0.387312048
2,678,C,0.402908454
2,678,B,0.381888635
2,720,A,0.623978602
2,720,E,0.454338375
2,720,D,0.348494023
2,720,C,0.359548125
2,720,B,0.341549708
2,750,A,0.598407653
2,750,E,0.435745892
2,750,D,0.336354656
2,750,C,0.345761624
2,750,B,0.328309288
3,678,A,1.047996912
3,678,E,0.729895002
3,678,D,0.509844866
3,678,C,0.528482437
3,678,B,0.519733191
3,720,A,0.818832517
3,720,E,0.594719271
3,720,D,0.440309356
3,720,C,0.453815113
3,720,B,0.446418557
3,750,A,0.779743638
3,750,E,0.566172689
3,750,D,0.422040472
3,750,C,0.434471534
3,750,B,0.427696152
4,678,A,1.165918642
4,678,E,0.821637313
4,678,D,0.571925057
4,678,C,0.611496521
4,678,B,0.621611125
4,720,A,0.892169529
4,720,E,0.656007144
4,720,D,0.487509549
4,720,C,0.517304626
4,720,B,0.524272508
4,750,A,0.854218794
4,750,E,0.624784456
4,750,D,0.466429316
4,750,C,0.494227373
4,750,B,0.501517955
5,678,A,1.168695211
5,678,E,0.843794074
5,678,D,0.656101531
5,678,C,0.678322554
5,678,B,0.663647268
5,720,A,0.894337038
5,720,E,0.671498511
5,720,D,0.550918374
5,720,C,0.566654351
5,720,B,0.555715058
5,750,A,0.853640709
5,750,E,0.639961547
5,750,D,0.526346445
5,750,C,0.542024215
5,750,B,0.531468882
6,678,A,1.22031535
6,678,E,0.894555231
6,678,D,0.680719601
6,678,C,0.764904201
6,678,B,0.748911626
6,720,A,0.921981659
6,720,E,0.703758962
6,720,D,0.563469155
6,720,C,0.629143781
6,720,B,0.616118636
6,750,A,0.884841826
6,750,E,0.671651529
6,750,D,0.537405643
6,750,C,0.599564446
6,750,B,0.58689889
7,678,A,1.344857441
7,678,E,0.949042572
7,678,D,0.830940704
7,678,C,0.852796819
7,678,B,0.872169336
7,720,A,0.990319649
7,720,E,0.743011269
7,720,D,0.675201012
7,720,C,0.691516446
7,720,B,0.702509165
7,750,A,0.946484903
7,750,E,0.70850977
7,750,D,0.643713792
7,750,C,0.659340507
7,750,B,0.668720325
8,678,A,1.351374547
8,678,E,0.976018899
8,678,D,0.873358654
8,678,C,0.92470726
8,678,B,0.916079912
8,720,A,0.992234707
8,720,E,0.758189314
8,720,D,0.699559046
8,720,C,0.732382993
8,720,B,0.727137923
8,750,A,0.949659036
8,750,E,0.723726186
8,750,D,0.666412678
8,750,C,0.696474817
8,750,B,0.691914539
9,678,A,1.420746379
9,678,E,1.07368009
9,678,D,1.041823414
9,678,C,1.089742766
9,678,B,1.074494574
9,720,A,1.031517651
9,720,E,0.822191132
9,720,D,0.817859862
9,720,C,0.848076721
9,720,B,0.837595251
9,750,A,0.986957788
9,750,E,0.78438588
9,750,D,0.779909061
9,750,C,0.807874242
9,750,B,0.797840913
10,678,A,1.013117863
10,678,E,1.164126529
10,678,D,1.155161275
10,678,C,1.18725623
10,678,B,1.199224446
10,720,A,0.794878741
10,720,E,0.877070281
10,720,D,0.888100074
10,720,C,0.907757481
10,720,B,0.914410181
10,750,A,0.760893153
10,750,E,0.83687769
10,750,D,0.845702006
10,750,C,0.864546763
10,750,B,0.871419509
12,678,A,1.295596772
12,678,E,1.314726445
12,678,D,1.302357912
12,678,C,1.351797528
12,678,B,1.362417539
12,720,A,0.95846755
12,720,E,1.078293694
12,720,D,0.969073521
12,720,C,0.99562886
12,720,B,1.00050901
12,750,A,0.917125569
12,750,E,1.0288499
12,750,D,0.92314589
12,750,C,0.947587854
12,750,B,0.952464766
14,678,A,1.431262016
14,678,E,1.544050852
14,678,D,1.480356905
14,678,C,1.604766183
14,678,B,1.645167748
14,720,A,1.198283619
14,720,E,1.231820557
14,720,D,1.065584077
14,720,C,1.12380947
14,720,B,1.141111559
14,750,A,0.982470453
14,750,E,1.173952315
14,750,D,1.013715234
14,750,C,1.07013165
14,750,B,1.085409429
18,678,A,1.791462633
18,678,E,1.880535788
18,678,D,1.676388568
18,678,C,1.846359849
18,678,B,1.93201477
18,720,A,1.303674274
18,720,E,1.329133709
18,720,D,1.159789258
18,720,C,1.234633221
18,720,B,1.272562888
18,750,A,1.249468764
18,750,E,1.268556052
18,750,D,1.104354395
18,750,C,1.176747905
18,750,B,1.213845809
22,678,A,2.05074656
22,678,E,2.122766919
22,678,D,1.676388568
22,678,C,1.846359849
22,678,B,1.93201477
22,720,A,1.303674274
22,720,E,1.329133709
22,720,D,1.159789258
22,720,C,1.234633221
22,720,B,1.272562888
22,750,A,1.249468764
22,750,E,1.268556052
22,750,D,1.104354395
22,750,C,1.176747905
22,750,B,1.213845809
